"station"	"variable"	"technique"	"periodicity"	"date"	"hour"	"value"	"valid"
"28790401"	38	2	2	2016-07-11	2	6	TRUE
"28790406"	48	2	2	2016-07-11	2	0.2	TRUE
"28790407"	8	2	2	2016-07-11	2	1	TRUE
"28790408"	8	2	2	2016-07-11	2	58	TRUE
"28790412"	8	2	2	2016-07-11	2	60	TRUE
"28790481"	98	2	2	2016-07-11	2	0.2	TRUE
"28790482"	98	2	2	2016-07-11	2	20	TRUE
"28790483"	98	2	2	2016-07-11	2	23.2	TRUE
"28790486"	98	2	2	2016-07-11	2	52	TRUE
"28790489"	98	2	2	2016-07-11	2	0	TRUE
"28790801"	38	2	2	2016-07-11	2	11	TRUE
"28790806"	48	2	2	2016-07-11	2	0.3	TRUE
"28790807"	8	2	2	2016-07-11	2	8	TRUE
"28790808"	8	2	2	2016-07-11	2	58	TRUE
"28790809"	47	2	2	2016-07-11	2	16	TRUE
"28790810"	47	2	2	2016-07-11	2	24	TRUE
"28790812"	8	2	2	2016-07-11	2	71	TRUE
"28790814"	6	2	2	2016-07-11	2	38	TRUE
"28790820"	59	2	2	2016-07-11	2	2.2	TRUE
"28790830"	59	2	2	2016-07-11	2	0.5	TRUE
"28790835"	59	2	2	2016-07-11	2	0.3	TRUE
"28790842"	2	2	2	2016-07-11	2	1.5	TRUE
"28790843"	2	2	2	2016-07-11	2	1.36	TRUE
"28790844"	2	2	2	2016-07-11	2	0.13	TRUE
"28791107"	8	2	2	2016-07-11	2	2	TRUE
"28791108"	8	2	2	2016-07-11	2	34	TRUE
"28791112"	8	2	2	2016-07-11	2	36	TRUE
